entrez_gene_id	hugo_symbol
9397	NMT2
57178	ZMIZ1
143872	ARHGAP42
5896	RAG1
338323	NLRP14
5827	PXMP2
112802	KRT71
3848	KRT1
5042	PABPC3
2321	FLT1
23077	MYCBP2
25831	HECTD1
253959	RALGAPA1
1033	CDKN3
55745	AP5M1
26030	PLEKHG3
7057	THBS1
117155	CATSPER2
11001	SLC27A2
9236	CCPG1
10620	ARID3B
84662	GLIS2
55336	FBXL8
29	ABR
56953	NT5M
5469	MED1
4353	MPO
9150	CTDP1
3385	ICAM3
3770	KCNJ14
79784	MYH14
162998	OR7D2
178	AGL
1952	CELSR2
55891	LENEP
23381	SMG5
27	ABL2
23179	RGL1
5317	PKP1
55746	NUP133
10327	AKR1A1
85440	DOCK7
494115	RBMXL1
5293	PIK3CD
26152	ZNF337
5476	CTSA
6227	RPS21
7122	CLDN5
421	ARVCF
23112	TNRC6B
84844	PHF5A
171568	POLR3H
23774	BRD1
9448	MAP4K4
53353	LRP1B
10920	COPS8
54497	HEATR5B
388960	C2orf78
7428	VHL
285313	IGSF10
4585	MUC4
7342	UBP1
3708	ITPR1
51574	LARP7
11199	ANXA10
10699	CORIN
100631383	FAM47E-STBD1
5783	PTPN13
441108	C5orf56
3308	HSPA4
29102	DROSHA
635	BHMT
262	AMD1
222553	SLC35F1
8831	SYNGAP1
27154	BRPF3
27283	TINAG
29969	MDFIC
142685	ASB15
64764	CREB3L2
155435	RBM33
3955	LFNG
1644	DDC
57154	SMURF1
79037	PVRIG
157313	CDCA2
51435	SCARA3
59339	PLEKHA2
84197	POMK
203286	ANKS6
954	ENTPD2
79813	EHMT1
7436	VLDLR
27336	HTATSF1
25878	MXRA5
2705	GJB1
9886	RHOBTB1
1959	EGR2
3312	HSPA8
6712	SPTBN2
540	ATP7B
23503	ZFYVE26
6554	SLC10A1
146059	CDAN1
51704	GPRC5B
54988	ACSM5
57547	ZNF624
22861	NLRP1
5797	PTPRM
57794	SUGP1
54938	SARS2
284325	C19orf54
284297	SSC5D
84106	PRAM1
4542	MYO1F
6339	SCNN1D
2630	GBAP1
343035	RD3
54627	MAP10
6421	SFPQ
23499	MACF1
140885	SIRPA
57167	SALL4
9514	GAL3ST1
4036	LRP2
2122	MECOM
6870	TACR3
134353	LSM11
667	DST
3174	HNF4G
9919	SEC16A
54801	HAUS6
54885	TBC1D8B
4114	MAGEB3
7789	ZXDA
22876	INPP5F
26103	LRIT1
5728	PTEN
10394	PRG3
4842	NOS1
160777	CCDC60
2059	EPS8
8085	KMT2D
7786	MAP3K12
6472	SHMT2
8076	MFAP5
56163	RNF17
675	BRCA2
7178	TPT1
4008	LMO7
57523	NYNRIN
11169	WDHD1
10001	MED6
54993	ZSCAN2
8826	IQGAP1
51061	TXNDC11
4642	MYO1D
284001	CCDC57
8736	MYOM1
7050	TGIF1
126370	OR1I1
6822	SULT2A1
84671	ZNF347
199713	NLRP7
5394	EXOSC10
126668	TDRD10
480	ATP1A4
54823	SWT1
83872	HMCN1
259266	ASPM
7399	USH2A
